source,run_id,retries,status,has_token_counts
results_jsonl,atlas-npu_b3_r1_mxu_r2_sonnet.7e9eb3ac,0,blocked,no
results_jsonl,atlas-npu_b3_r1_mxu_r3_sonnet.7ea5ce63,0,blocked,no
results_jsonl,atlas-npu_b4_r1_mxu_r1_sonnet.43df8659,0,blocked,no
results_jsonl,atlas-npu_b4_r1_mxu_r2_sonnet.e2570a32,0,blocked,no
results_jsonl,atlas-npu_b4_r1_mxu_r3_sonnet.906150f4,0,blocked,no
results_jsonl,atlas-npu_b5_r1_mxu_r1_sonnet.c3ac5d15,0,blocked,no
results_jsonl,atlas-npu_b5_r1_mxu_r2_sonnet.3cbd4cec,0,blocked,no
results_jsonl,atlas-npu_b5_r1_mxu_r3_sonnet.fef35dfa,0,blocked,no
results_jsonl,atlas-npu_b6_r1_mxu_r1_sonnet.452f1fdc,0,blocked,no
results_jsonl,atlas-npu_b7_r1_mxu_r1_sonnet.bff1e8b3,0,blocked,no
results_jsonl,atlas-npu_b2r_r1_mxu_r1_haiku.b352235a,0,verify_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r1_opus.2d833e6b,0,verify_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r1_sonnet.d90f5df7,0,verify_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r1_tiered.69a0e111,0,verify_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r1_v2_kappa.ed2f7dfd,0,verify_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r2_haiku.b3da5251,0,verify_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r2_opus.b8764446,0,verify_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r2_sonnet.4792e5a0,0,verify_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r2_tiered.33c1229d,0,verify_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r2_v2_kappa.fd423ae5,0,verify_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r3_haiku.9a64ac5b,0,blocked,no
results_jsonl,atlas-npu_b2r_r1_mxu_r3_opus.0c335472,0,blocked,no
results_jsonl,atlas-npu_b2r_r1_mxu_r3_sonnet.39fff8a3,0,blocked,no
results_jsonl,atlas-npu_b2r_r1_mxu_r3_tiered.ce2137d3,0,blocked,no
results_jsonl,atlas-npu_b2r_r1_mxu_r3_v2_kappa.44144305,0,verify_fail,no
results_jsonl,atlas-npu_b3_r1_mxu_r1_sonnet.534428fe,0,blocked,no
results_jsonl,atlas-npu_b3_r1_mxu_r2_sonnet.7e9eb3ac,0,blocked,no
results_jsonl,atlas-npu_b3_r1_mxu_r3_sonnet.7ea5ce63,0,blocked,no
results_jsonl,atlas-npu_b4_r1_mxu_r1_sonnet.43df8659,0,blocked,no
results_jsonl,atlas-npu_b4_r1_mxu_r2_sonnet.e2570a32,0,blocked,no
results_jsonl,atlas-npu_b4_r1_mxu_r3_sonnet.906150f4,0,blocked,no
results_jsonl,atlas-npu_b5_r1_mxu_r1_sonnet.c3ac5d15,0,blocked,no
results_jsonl,atlas-npu_b5_r1_mxu_r2_sonnet.3cbd4cec,0,blocked,no
results_jsonl,atlas-npu_b5_r1_mxu_r3_sonnet.fef35dfa,0,blocked,no
results_jsonl,atlas-npu_b6_r1_mxu_r1_sonnet.452f1fdc,0,blocked,no
results_jsonl,atlas-npu_b7_r1_mxu_r1_sonnet.bff1e8b3,0,blocked,no
results_jsonl,atlas-npu_b2r_r1_mxu_r1_haiku.b352235a,0,parse_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r1_opus.2d833e6b,0,verify_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r1_sonnet.d90f5df7,0,verify_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r1_tiered.69a0e111,0,verify_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r1_v2_kappa.ed2f7dfd,0,verify_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r2_haiku.b3da5251,0,parse_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r2_opus.b8764446,0,verify_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r2_sonnet.4792e5a0,0,verify_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r2_tiered.33c1229d,0,parse_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r2_v2_kappa.fd423ae5,0,verify_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r3_haiku.9a64ac5b,0,parse_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r3_opus.0c335472,0,verify_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r3_sonnet.39fff8a3,0,verify_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r3_tiered.ce2137d3,0,verify_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r3_v2_kappa.44144305,0,verify_fail,no
results_jsonl,atlas-npu_b3_r1_mxu_r1_sonnet.534428fe,0,parse_fail,no
results_jsonl,atlas-npu_b3_r1_mxu_r2_sonnet.7e9eb3ac,0,parse_fail,no
results_jsonl,atlas-npu_b3_r1_mxu_r3_sonnet.7ea5ce63,0,parse_fail,no
results_jsonl,atlas-npu_b4_r1_mxu_r1_sonnet.43df8659,0,ok,no
results_jsonl,atlas-npu_b4_r1_mxu_r2_sonnet.e2570a32,0,ok,no
results_jsonl,atlas-npu_b4_r1_mxu_r3_sonnet.906150f4,0,ok,no
results_jsonl,atlas-npu_b5_r1_mxu_r1_sonnet.c3ac5d15,0,verify_fail,no
results_jsonl,atlas-npu_b5_r1_mxu_r2_sonnet.3cbd4cec,0,parse_fail,no
results_jsonl,atlas-npu_b5_r1_mxu_r3_sonnet.fef35dfa,0,parse_fail,no
results_jsonl,atlas-npu_b6_r1_mxu_r1_sonnet.452f1fdc,0,parse_fail,no
results_jsonl,atlas-npu_b7_r1_mxu_r1_sonnet.bff1e8b3,0,parse_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r1.be257d46,0,verify_fail,yes
results_jsonl,atlas-npu_b2r_r1_mxu_r2.75082e2f,0,verify_fail,yes
results_jsonl,atlas-npu_b2_r0_whole.09b6f475,0,ok,no
results_jsonl,atlas-npu_b2r_r1_mxu_r1_haiku.b352235a,0,parse_fail,yes
results_jsonl,atlas-npu_b0_r0_whole_r1_opus.f5f41dde,0,parse_fail,yes
results_jsonl,atlas-npu_b0_r0_whole_r1_sonnet.7f49cde2,0,parse_fail,yes
results_jsonl,atlas-npu_b2r_r1_mxu_r1.be257d46,0,verify_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r2.75082e2f,0,verify_fail,no
results_jsonl,atlas-npu_b0_r1_lsu_r1.0b3e37b2,0,parse_fail,no
results_jsonl,atlas-npu_b0_r1_lsu_r2.8a97a8e0,0,parse_fail,no
results_jsonl,atlas-npu_b0_r1_mxu_r1.fa7c74d8,0,parse_fail,no
results_jsonl,atlas-npu_b0_r1_mxu_r2.17a504a7,0,parse_fail,no
results_jsonl,atlas-npu_b0_r1_vpu_r1.977c38ff,0,parse_fail,no
results_jsonl,atlas-npu_b0_r1_vpu_r2.0bcbad61,0,parse_fail,no
results_jsonl,atlas-npu_b0_r2_whole_r1.4752311d,0,parse_fail,no
results_jsonl,atlas-npu_b0_r2_whole_r2.8256b1b4,0,parse_fail,no
results_jsonl,atlas-npu_b1_r1_lsu_r1.05d940ee,0,parse_fail,no
results_jsonl,atlas-npu_b1_r1_lsu_r2.10cbfdfd,0,verify_fail,no
results_jsonl,atlas-npu_b1_r1_mxu_r1.a7922405,0,parse_fail,no
results_jsonl,atlas-npu_b1_r1_mxu_r2.094918fd,0,parse_fail,no
results_jsonl,atlas-npu_b1_r1_vpu_r1.8c069e26,0,parse_fail,no
results_jsonl,atlas-npu_b1_r1_vpu_r2.24c9e601,0,parse_fail,no
results_jsonl,atlas-npu_b1_r2_whole_r1.c65f0ada,0,parse_fail,no
results_jsonl,atlas-npu_b1_r2_whole_r2.c7ac0f03,0,verify_fail,no
results_jsonl,atlas-npu_b2_r1_lsu_r1.76f660aa,0,blocked,no
results_jsonl,atlas-npu_b2_r1_lsu_r2.69ba8b4d,0,blocked,no
results_jsonl,atlas-npu_b2_r1_mxu_r1.f1f3f670,0,blocked,no
results_jsonl,atlas-npu_b2_r1_mxu_r2.18c95e49,0,blocked,no
results_jsonl,atlas-npu_b2_r1_vpu_r1.b12aae47,0,blocked,no
results_jsonl,atlas-npu_b2_r1_vpu_r2.7602d6f3,0,blocked,no
results_jsonl,atlas-npu_b2_r2_whole_r1.545aaa73,0,blocked,no
results_jsonl,atlas-npu_b2_r2_whole_r2.22f884a1,0,blocked,no
results_jsonl,atlas-npu_b2r_r1_mxu_r1_opus.2d833e6b,0,parse_fail,yes
results_jsonl,atlas-npu_b0_r1_lsu_r1.0b3e37b2,0,parse_fail,no
results_jsonl,atlas-npu_b0_r1_lsu_r2.8a97a8e0,0,parse_fail,no
results_jsonl,atlas-npu_b0_r1_mxu_r1.fa7c74d8,0,parse_fail,no
results_jsonl,atlas-npu_b0_r1_mxu_r2.17a504a7,0,parse_fail,no
results_jsonl,atlas-npu_b0_r1_vpu_r1.977c38ff,0,parse_fail,no
results_jsonl,atlas-npu_b0_r1_vpu_r2.0bcbad61,0,parse_fail,no
results_jsonl,atlas-npu_b0_r2_whole_r1.4752311d,0,parse_fail,no
results_jsonl,atlas-npu_b0_r2_whole_r2.8256b1b4,0,parse_fail,no
results_jsonl,atlas-npu_b1_r1_lsu_r1.05d940ee,0,parse_fail,no
results_jsonl,atlas-npu_b1_r1_lsu_r2.10cbfdfd,0,verify_fail,no
results_jsonl,atlas-npu_b1_r1_mxu_r1.a7922405,0,parse_fail,no
results_jsonl,atlas-npu_b1_r1_mxu_r2.094918fd,0,parse_fail,no
results_jsonl,atlas-npu_b1_r1_vpu_r1.8c069e26,2,provider_error,no
results_jsonl,atlas-npu_b1_r1_vpu_r2.24c9e601,0,parse_fail,no
results_jsonl,atlas-npu_b1_r2_whole_r1.c65f0ada,0,parse_fail,no
results_jsonl,atlas-npu_b1_r2_whole_r2.c7ac0f03,2,provider_error,no
results_jsonl,atlas-npu_b2_r1_lsu_r1.76f660aa,2,provider_error,no
results_jsonl,atlas-npu_b2_r1_lsu_r2.69ba8b4d,2,provider_error,no
