run_id,model,source,four_class_usd,two_class_usd,ratio,cache_read_tokens,cache_creation_tokens
atlas-npu_b2r_r1_mxu_r1_v2_kappa.ed2f7dfd,claude-opus-4-8,results_jsonl,5.971159,5.84433,0.9788,13190,81305
atlas-npu_b2r_r1_mxu_r2_sonnet.4792e5a0,claude-opus-4-6,results_jsonl,7.717657,7.63369,0.9891,81864,361884
atlas-npu_b4_r1_mxu_r1_sonnet.43df8659,claude-sonnet-4-6,results_jsonl,1.986994,1.996197,1.0046,38817,127471
atlas-npu_b6_r1_mxu_r1_sonnet.452f1fdc,claude-sonnet-4-6,results_jsonl,1.534317,1.542285,1.0052,25878,82537
aetrun_1e41392b737d_007,claude-sonnet-4-6,aet_run,0.489925,0.499128,1.0188,38817,127471
aetrun_4be540c16e94_013,claude-sonnet-4-6,aet_run,0.317532,0.3255,1.0251,25878,82537
atlas-npu_b4_r1_mxu_r2_sonnet.e2570a32,claude-sonnet-4-6,results_jsonl,2.015625,2.068704,1.0263,54183,124287
atlas-npu_b3_r1_mxu_r3_sonnet.7ea5ce63,claude-sonnet-4-6,results_jsonl,2.011575,2.068383,1.0282,54154,119210
atlas-npu_b3_r1_mxu_r1_sonnet.534428fe,claude-sonnet-4-6,results_jsonl,1.976784,2.079351,1.0519,67142,104955
,claude-opus-4-6,results_jsonl,0.967205,1.019585,1.0542,13364,6206
,claude-sonnet-4-6,results_jsonl,1.605345,1.696125,1.0565,38835,18766
,claude-opus-4-6,results_jsonl,0.649903,0.702595,1.0811,13364,5957
,claude-haiku-4-5-20251001,results_jsonl,0.109245,0.119718,1.0959,13352,6175
aetrun_1e41392b737d_008,claude-sonnet-4-6,aet_run,0.482595,0.535674,1.11,54183,124287
,claude-haiku-4-5-20251001,results_jsonl,0.093971,0.104513,1.1122,13348,5884
aetrun_9bc96e126f4b_006,claude-sonnet-4-6,aet_run,0.463668,0.520476,1.1225,54154,119210
atlas-npu_b3_r1_mxu_r2_sonnet.7e9eb3ac,claude-sonnet-4-6,results_jsonl,1.875979,2.120973,1.1306,108357,63427
aetrun_9bc96e126f4b_004,claude-sonnet-4-6,aet_run,0.414108,0.516675,1.2477,67142,104955
atlas-npu_b4_r1_mxu_r3_sonnet.906150f4,claude-sonnet-4-6,results_jsonl,1.565072,2.000382,1.2781,162647,5116
atlas-npu_b5_r1_mxu_r2_sonnet.3cbd4cec,claude-sonnet-4-6,results_jsonl,2.070653,2.718456,1.3128,245589,20383
atlas-npu_b2r_r1_mxu_r2_v2_kappa.fd423ae5,claude-opus-4-8,results_jsonl,7.27875,9.78267,1.344,188990,12652
aetrun_caacd42a0476_007,claude-opus-4-8,aet_run,1.791522,2.719665,1.5181,93208,88044
aetrun_1ae85f5337c2_003,claude-opus-4-8,aet_run,1.494145,2.487255,1.6647,93607,72156
aetrun_2f940c935692_006,claude-opus-4-8,aet_run,1.419756,2.40819,1.6962,92189,68298
aetrun_c5195201592d_002,claude-sonnet-4-6,aet_run,0.098483,0.186024,1.8889,38835,23085
aetrun_9bc96e126f4b_005,claude-sonnet-4-6,aet_run,0.270622,0.515616,1.9053,108357,63427
aetrun_e2fd6fadf8d3_001,claude-opus-4-8,aet_run,2.005764,4.00998,1.9992,174291,92990
aetrun_ed15b7f5d6d8_5ebcc8_001,claude-opus-4-8,aet_run,0.524788,1.086585,2.0705,48304,24082
aetrun_ed15b7f5d6d8_5ebcc8_001,claude-opus-4-8,aet_run,0.526357,1.098015,2.0861,49037,24091
aetrun_3ee7b67d3814_450ab4_001,claude-sonnet-4-6,aet_run,0.082287,0.173067,2.1032,38835,18766
aetrun_ed15b7f5d6d8_001,claude-opus-4-8,aet_run,0.496278,1.061625,2.1392,48147,22570
aetrun_3ee7b67d3814_001,claude-opus-4-6,aet_run,0.045679,0.09806,2.1467,13364,6206
aetrun_c5195201592d_adf6fb_002,claude-haiku-4-5-20251001,aet_run,0.009068,0.019541,2.155,13352,6175
aetrun_c77dbe5ee7bb_002,claude-opus-4-6,aet_run,0.044198,0.09689,2.1922,13364,5957
