run_id,source,model,fresh_input_tokens,cache_read_tokens,cache_creation_tokens,cache_unsplit_tokens,billed_input_tokens,cache_share
aetrun_5462e4f03aa4_5bcd68_001,aet_run,claude-opus-4-6,2,0,82311,0,82313,0.9999757025014275
aetrun_5462e4f03aa4_5bcd68_005,aet_run,claude-opus-4-6,2,13370,68941,0,82313,0.9999757025014275
aetrun_5462e4f03aa4_5bcd68_009,aet_run,claude-opus-4-6,2,0,82311,0,82313,0.9999757025014275
aetrun_adbdd324f2ec_002,aet_run,claude-opus-4-8,2,0,0,82811,82813,0.9999758492024199
aetrun_1ae85f5337c2_003,aet_run,claude-opus-4-8,4,93607,72156,0,165767,0.9999758697448828
aetrun_e2fd6fadf8d3_001,aet_run,claude-opus-4-8,6,174291,92990,0,267287,0.9999775522191502
aetrun_caacd42a0476_007,aet_run,claude-opus-4-8,4,93208,88044,0,181256,0.9999779317650175
aetrun_d9a97eae8b7f_004,aet_run,claude-opus-4-8,2,13192,81067,0,94261,0.9999787823171832
aetrun_8c489619e405_003,aet_run,claude-opus-4-8,2,0,0,94269,94271,0.9999787845678947
aetrun_8c489619e405_001,aet_run,claude-opus-4-8,2,0,0,94429,94431,0.9999788205144498
aetrun_f38047ddf4a5_002,aet_run,claude-opus-4-8,2,13190,81305,0,94497,0.999978835306941
aetrun_f38047ddf4a5_004,aet_run,claude-opus-4-8,2,94495,0,0,94497,0.999978835306941
aetrun_f38047ddf4a5_003,aet_run,claude-opus-4-8,4,188990,12652,0,201646,0.9999801632563998
